valor,texto
1,"Esta monografia visa abordar uma subárea de Sistemas Digitais com franca possibilidade de crescimento e grande potencial tecnológico que é o trabalho com sistemas embarcados, Linux embarcado, utilizando microprocessador de arquitetura ARM explorando o ambiente Web. O hardware e o sistema operacional empregados foram usados para análise e codificação de áudio (músicas em formato mp3) que, posteriormente, baseado em banco de dados, permitem a identificação do áudio em questão. Foram utilizados dois algoritmos para a codificação do áudio para a realização de comparações e discussões a respeito de suas metodologias e desempenhos. Depois de realizados os ensaios sobre tempo de execução e eficiência de resposta, foi possível observar a superioridade em termos de processamento obtida pelo Chromaprint sobre o Echoprint. Este projeto disponibiliza uma contribuição em forma de uma plataforma que se utiliza dos recursos que o ambiente Web oferece, para aplicação de metodologias de reconhecimento de áudio, sem restrição de acesso para usuários.
"
1,"Este trabalho tem como objetivo o estudo da modulação de sinais ópticos por meio do acoplamento entre guias de onda e anéis ressoadores baseados em grafeno. O modelo adotado tem como fundamento a teoria do ponto crítico de acoplamento que relaciona a transmissão através do modulador com as perdas no anel ressoador. A solução analisada consiste no controle da condutividade óptica do grafeno através do ajuste de uma tensão elétrica aplicada nesse material, permitindo, dessa forma, controlar as perdas por absorção no anel. O trabalho analisará ainda o comportamento da condutividade do grafeno em relação ao potencial químico desse material, além de apresentar resultados sobre a transmissão no modulador em relação às dimensões da área da estrutura do anel contendo grafeno."
1,"Neste trabalho, descrevem-se todos os componentes mecânicos e eletrônicos do robô e a forma como se interliga para formar um robô móvel terrestre para o qual será projetado controladores de velocidade de suas rodas acionadas por dois mini-motores CC. O que viabiliza o robô ser programado com um conjunto de comandos através dos quais um usuário possa fazer com que o robô se movimente de uma maneira desejada. 




 
"
1,"O trabalho aqui desenvolvido tem por objetivo a análise do desempenho de controladores digitais disponíveis na literatura aplicados ao controle de posição do motor CC, e a eficiência do controle em tempo real utilizando o toolbox Real-Time Workshop do Simulink.
Em uma primeira etapa, serão feitos estudos dos recursos do toolbox Real-Time Workshop.
Na segunda etapa, será implementado o circuito tipo ponte H de acionamento do motor, bem como os circuitos de isolamento óptico entre a placa de aquisição de dados National Instruments AT-MIO-16E-10 e o circuito de potência. Na terceira etapa, com a interface microcomputador-motor concluída, o modelo dinâmico do motor CC será encontrado a partir de testes de degrau de tensão e o System Identification Tool do MATLAB.
Finalmente, com a dinâmica do motor modelada, poderão ser investigados diferentes tipos de controladores, tais como Proporcional (P), Proporcional-Integral (PI), Proporcional-Integral-Derivativo (PID) com auxílio do MATLAB e toolbox Real-Time Workshop do Simulink.
"
1,"Este trabalho apresenta o funcionamento detalhado do sistema GPS, as vulnerabilidades e as defesas existentes. E a partir de análises e estudos, construir uma possível solução ainda não implementada para o Spoofing. Foi implementado um sistema de detecção para o Spoofing GPS via software em um Tablet, o qual detectou o ataque com eficácia ao obter os dados spoofados."
1,"Neste trabalho de conclusão de curso foi proposto o desenvolvimento de um sistema de marcação a laser em metais utilizando o laser de Ti:Safira pulsado na faixa de femtossegundos (100 fs, 1GHz e potência da ordem de 700 mW), para produzir nanoestruturas periodicamente orientadas (ripples) na superfície, alterando as propriedades do material por radiação a laser de pulsos ultracurtos, cujo propósito é associar padrões específicos de cor ao tipo de nanoestruturas periódicas orientadas. As características do material produzidas pela interação com a radiação laser ultra curto apresentam dimensões em escalas nanoscópicas, produzindo novas propriedades ópticas associadas a obtenção de
padrão de cores. A operacionalidade do laser em regime de pulso ultra curto exige a completa estabilidade da cavidade óptica do laser, condição esta que não permitiu a realização da integração com o subsistema de controle eletrônico do sistema de marcação. Devido a esse fato foi utilizado um laser femtossegundo comercial da Coherent, modelo Libra (100 fs, 800 nm, 1kHz, 1W e 1,0 mJ) para realizar a prova de conceito e o modelo de engenharia do projeto proposto. O sistema Libra foi adaptado para a execução do sistema de marcação, servindo de referência para o projeto aqui proposto. O resultado final ilustrado pelas imagens obtidas por microscopia eletrônica de varredura confirmam a geração de nanoestruturas periódicas por meio da ação laser de femtossegundos nas
superfícies de aço inox. Estes resultados foram obtidos utilizando o laser de referência Ti:Safira femtossegundos (Libra/Coherent) do Grupo de Óptica – IFSC – USP, os equipamentos de controle do laser pulsado Ti:Safira como o pulse picker e Q-switching foram cedidos pelo Grupo de Espectroscopia de Sólidos - IFSC - USP, o scanner de varredura, placa de controle e software e dispositivos fotônicos foram cedidos pela Empresa BR Labs. Este projeto faz parte de um projeto PIPE I/FAPESP executado pela empresa BR Labs Fotônica em parceria com o Grupo de Óptica/IFSC/USP."
1,"O objetivo deste trabalho de conclusão de curso foi implementar um método de planejamento de movimento baseado em decomposição do ambiente em células e funções de navegação, conforme proposto em Conner et al (2003). Para implementar o método proposto, foi utilizado o software Matlab® para desenvolver um conjunto de ferramentas que calcula a função de navegação de um ambiente dividido em células. Com isso, este método permitirá que o robô navegue pelo ambiente a partir de qualquer posição inicial até uma posição final desejada desviando dos obstáculos, que foram considerados no mapa no momento do planejamento"
1,"O conceito de Internet das Coisas (IoT) tem se tornado cada vez mais presente em nossas vidas, com aplicações na Indústria, Logística, Agricultura, e nas chamadas Cidades Inteligentes. Nas cidades, dentre os diversos sistemas onde o conceito esta sendo aplicado, estão os Sistemas de Coleta de Lixo. Este trabalho envolve o projeto e desenvolvimento de um sistema de monitoramento do nível de lixeiras em uma cidade inteligente. Foram utilizados conceitos de sensores, sistemas embarcados (ESP32), Redes de Comunicação (LoRaWAN), e Computação em Nuvem. O Objetivo foi montar uma prova de conceito de um sistema que monitora o nível de lixo em lixeiras e disponibiliza esses dados para
consumo de uma aplicação na nuvem. O sistema foi implementado e testado objetivando verificar seu funcionamento e obter métricas importantes do sistema, o que foi obtido com sucesso."
1,"No mundo em que vivemos acessibilidade e conectividade viraram requisitos mais do que essenciais no cenário tecnológico. Ter acesso a informação de modo fácil e conexão com diversas plataformas são pontos mandatórios em projeto de tecnologia que queira se sustentar no mercado. Nesse projeto é proposto a utilização de conceitos de Home-Automation e Internet of Thing que vão ao encontro com tendências citadas. O projeto consiste em um sistema de segurança residencial que permitirá: controle de entrada (com a utilização de cartão  magnético), controle de periféricos (como sirenes, lâmpadas, etc), monitoramento da residência, alerta de invasão e interação desses atributos com SmartPhone. Para o controle de entrada foram utilizados componentes RFID e visor de LCD, controlados com Arduino UNO R3. Para realização do monitoramento foram utilizadas câmeras IP p2p (peer-to-peer) que possibilitam o controle de direção da mesma, filmagem e snapshots. Para o alarme de invasão foram utilizados sensores magnéticos acoplados a módulos Wi-fi ESP8266-01. Para o acionamento
dos periféricos a placa Intel Galileo foi utilizada para o controle de relês. A  alimentação dos periféricos (independente da rede elétrica) foi realizada através de um NoBreack e de uma bateria 12V. Para a utilização do projeto no SmartPhone foi desenvolvido um aplicativo através da plataforma APP Inventor do MIT. Para conexão do projeto o embarcado Intel Galileo gerou um WebService que possibilitou a conexão entre os módulos Wi-fi ESP8266, o SmartPhone e a câmera IP. O Arduino UNO, o visor de LCD e o componente RFID apresentaram funcionalidade compatível com a exposta pelos fabricantes. As câmeras IP apresentaram bom funcionamento, porém devido a sua configuração p2p sua acessibilidade é reduzida comparada aos modelos não p2p. Os sensores magnéticos não apresentaram nenhum tipo de problema, já os módulos ESP8266 mostraram alguns entraves, desde dificuldades físicas (como encaixe dos pinos e alimentação de 3,3V) até limitações de processamento e memória. O embarcado Intel Galileo teve funcionamento correto e não apresentou complicações após
toda a implementação ser realizada. O aplicativo feito por meio do APP Inventor supriu as necessidades do projeto e a plataforma de desenvolvimento mostrou-se ser capaz de realizar outros tipos de aplicação, sendo uma ótima escolha para projetos de Home-Automation."
1,"Esforços da neurociência para atingir conhecimentos mais aprofundados sobre os mecanismos de funcionamento do cérebro a partir do monitoramento de sinais elétricos neurológicos têm lançado enormes desafios sobre a  eletrônica/microeletrônica e a bioengenharia. Sinais elétricos monitorados a partir da implantação de eletrodos em ambiente biológico extracelular apresentam baixa amplitude e, por esta razão, quaisquer ruídos presentes são relativamente
significativos. Por outro lado, fatores como consumo de potência e área de chip são preocupações mandatórias em quaisquer circuitos implantados. Nesse sentido, o presente trabalho apresenta uma análise sobre as características dos sinais neurológicos e dos seus sistemas eletrônicos de monitoramento, debruçando-se principalmente sobre a análise e o projeto de um amplificador de baixo ruído e baixo consumo de potência, que utiliza a tecnologia CMOS 0,35µm AMS (AustriaMicroSystems). É realizada uma análise detalhada do comportamento do amplificador completo no domínio da frequência e das componentes de ruído existentes. Um amplificador operacional de baixo ruído utilizando uma topologia OTA (Operational Transconductance Amplifier) é projetado e otimizado através de técnicas de metaheurística. Os algoritmos empregados são o Enxame de Partículas (do inglês, Particle Swarm Optimization) e uma versão modificada do Recozimento Induzido (do inglês, Simulated Annealing). A partir da realização de consecutivas otimizações, foi possível obter um circuito com um fator de mérito de ruído (do inglês, Noise Efficiency Factor) de 4,39."
