valor,texto
1,"Previsão de elétricos, já que através dela é estabelecida quando e quanto de capacidade de geração e transmissão deve-se dispor para atender a carga sem interrupções no fornecimento e também para evitar o desperdício em despachos mal planejados ou compra de combustível. Neste trabalho, será apresentada uma metodologia que utiliza séries históricas de variáveis climatológicas de uma determinada região para predizer a demanda de Energia Elétrica. Será abordado temas como o processo de Descoberta de Conhecimento em Bancos de Dados e
suas etapas, como mineração de dados e redes neurais artificiais com o treinamento realizado pelo algoritmo de Levenberg-Marquardt. Os resultados foram apresentados de forma a avaliar a consistência e acurácia da metodologia aplicada. "
1,"A crescente demanda por energia elétrica e o aumento das dimensões dos sistemas
elétricos de potência (SEP) aumentaram a complexidade da operação e do planejamento do
sistema. Além disso, os altos investimentos necessários para se expandir a capacidade de
SEP contribuem para que o sistema opere próximo de seus limites de transmissão de
potência. A importância do fornecimento de energia elétrica e a o aumento da complexidade
dos SEP implicam na necessidade de ferramentas capazes de orientar a operação e o
planejamento do sistema para assegurar a segurança do mesmo. No contexto de
estabilidade estática de tensão, é possível utilizar a margem de estabilidade do sistema
devido a bifurcações (Bifurcação sela-nó e bifurcação induzida por limites) para se avaliar a
segurança de um determinado ponto de operação, dada uma determinada direção de
crescimento de carga e despacho. Este trabalho de conclusão de curso visa desenvolver
uma ferramenta computacional capaz de avaliar a distância de um determinado ponto de
operação em relação à fronteira da região de operação segura, do ponto de vista de
estabilidade estática de tensão. A avaliação é feita através da separação de geradores em
grupos cujas injeções de potência ativa variam lentamente, para que se determine a região
de operação segura e sua fronteira. O gráfico resultante da análise é denominado
nomograma e possibilita uma análise visual rápida e intuitiva das margens de estabilidade
do SEP, que pode ser usada para auxiliar o planejamento da expansão do sistema. A
princípio, foi implementada uma ferramenta de resolução do fluxo de carga baseada no
método de Newton-Raphson, a qual verifica a convergência do método para diversas
configurações de despacho. Para aumentar a precisão da determinação da região segura, o
método da continuação com parametrização por comprimento de arco foi implementado.
Além disso, técnicas de computação paralela baseadas na biblioteca OpenMP
complementam a ferramenta, reduzindo o tempo necessário para as análises, fazendo com
que o uso da ferramenta seja mais dinâmico.
"
1,"Este Trabalho de Conclusão de Curso tem como objetivo mostrar um dos problemas mais comuns na localização de faltas em sistemas de distribuição, a múltipla estimação. Para a contextualização deste trabalho, foram introduzidos todos os aspectos de um sistema de distribuição (elementos, topologia, perfil de consumo e aspectos regulatórios), definição e caracterização das faltas e introdução a alguns dos métodos de localização de falta (método do cálculo da reatância, ondas viajantes e sinalizadores). Para o desenvolvimento da pesquisa, foi utilizado o método do cálculo da reatância para a obtenção da distância. Após o cálculo, foi demonstrado um dos problemas associados a
esse método, a multipla estimação. Para a demonstração, foi utilizado o modelo de sistema IEEE 34 barras, simulando as possíveis faltas no software OpenDSS. Após a análise dos resultados, foi feito o cotejamento com o novo método, que utiliza todas as fases para o cálculo da distância da falta. Esse se mostrou eficaz, diminuindo (mas não erradicando) consideravelmente a múltipla estimação. "
1,"O presente trabalho visa estudar o sistema de iluminação pública (IP) no Brasil, por quanto em alguns municípios brasileiros à prefeitura realiza a gestão e manutenção da IP, porém em outros municípios as concessionárias de energia elétrica que realiza estes serviços, isso se deve as interpretações diferenciadas e confusas da constituição federal de 1988 e da ausência de lei para este assunto. Esta diferença que há entre os municípios e estados motivou a Agência Nacional de Energia Elétrica (ANEEL) a emitir uma resolução, nº414/2010, que diz ser de responsabilidade das prefeituras a gestão, manutenção e implantação da IP municipal, tomando como base interpretações da constituição federal de 1988. Esta resolução trouxe diversos conflitos, pois alguns municípios não possuem
condições para arcar com estes gastos e outros não concordam com a medida tomada pela ANEEL. Devido à transferência dos ativos de IP para as prefeituras emergiram diversas dúvidas de como administrar mais esta responsabilidade. Assim será apresentado, de forma clara e sucinta, o sistema de iluminação pública, seu funcionamento, as mudanças após a transição, as análises de custo, as maneiras de lidar com possíveis problemas auxiliando as prefeituras em relação à gestão de IP. Além disso, serão apresentadas as discussões polêmicas sobre este assunto, bem como as concepções dos advogados e parlamentares, as consequências que serão enfrentadas pelas prefeituras e as medidas tomadas pelos juízes e pelo congresso nacional. Desta forma, este trabalho traz os detalhes desta transição dando aos agentes municipais e ao leitor noções dos direitos e deveres da prefeitura que estão presentes na legislação, e apresentando formas de como a IP pode ser melhorada para proporcionar maior qualidade de vida à população.  "
1,"Este projeto tem por objetivo o desenvolvimento e a construção de um sistema protótipo microcontrolado capaz de associar entradas e saídas discretas, como sensores e atuadores, utilizando-se de combinações de estado e operações lógicas simples. O sistema é composto de módulos independentes com 4 entradas e 4 saídas, cuja lógica é programada por uma central ligada a um computador. O diferencial deste projeto é a utilização de comunicação sem fio (RF) entre os módulos e a central, eliminando a necessidade de conexão física, agregando assim flexibilidade às aplicações. Outra característica importante diz respeito à autonomia que cada módulo tem para gerenciar suas tarefas, não dependendo da central para coordená-las; isto permite ao usuário programar o módulo e utilizá-lo mesmo onde a central não esteja presente"
1,"Devido à robustez e ao baixo custo, o motor de indução é a máquina elétrica em corrente alternada mais usada. É basicamente constituída por duas partes: estator (parte fixa) e rotor (parte móvel). O rotor pode ser de dois tipos: rotor bobinado (ou enrolado) e rotor em gaiola de esquilo. A utilização de motores de indução com rotor em gaiola é mais comum pela maior simplicidade de construção e menor custo. Em estudos de estabilidade de tensão, cargas como motores de indução são de grande importância visto que consomem quantidade elevada de potência reativa quando ocorrem quedas de tensão em sua alimentação. Este consumo excessivo por sua vez acarreta em problemas que podem levar o sistema a um colapso de tensão. Para inserir motores de indução em estudos de estabilidade é necessário primeiramente conhecer a modelagem dinâmica desta máquina. Assim, este trabalho apresenta a obtenção de dois modelos dinâmicos para o motor de indução com rotor em gaiola de esquilo, no caso os modelos em primeira e terceira ordem. Estes permitem fazer simulações dinâmicas de sistemas elétricos observando transitórios e limites de estabilidade. Isto será feito em um sistema teste, onde ficam evidentes colapsos de tensão para dois tipos de falta: perda de alimentadores e curto-circuito. Por fim, análises de estabilidade são feitas neste sistema, buscando-se provar que a modelagem em terceira ordem é singularmente perturbada e que é possível aplicar métodos energéticos a sistemas com esta máquina"
1,"Este trabalho de conclusão de curso visa à elaboração de uma metodologia para analisar a
robustez de sistemas elétricos de potência durante o planejamento da expansão da sua rede de
transmissão. Tal planejamento se faz necessário para poder satisfazer as exigências da crescente
demanda do sistema elétrico. Redes elétricas não robustas estão vulneráveis a contingências na
sua estrutura, os quais podem ocasionar desligamentos de partes do sistema, comprometendo,
assim, o fornecimento adequado de energia elétrica aos consumidores.
O problema tradicional de planejamento da expansão de redes de transmissão não leva em
consideração possíveis contingências, não sendo possível avaliar e melhorar a segurança do sistema
elétrico. Um novo modelo que considere a vulnerabilidade das novas con_gurações do sistema
torna-se necessário para que se possa garantir sua segurança e robustez.
Além de estudar as metodologias clássicas do problema em questão, baseadas em problemas
lineares inteiros mistos, e sua resolução (Método Branch and Bound e Busca Tabu), esse trabalho
também propõe e avalia um novo modelo de otimização binível inteiro misto que incorpora
a minimização da vulnerabilidade da rede aos modelos clássicos de expansão. O estudo detalhado
desse novo modelo irá proporcionar modos de avaliar e quanti_car a robustez de redes de
transmissão.

"
1,"O presente trabalho visa o desenvolvimento de dois projetos de distribuição de energia elétrica em um condomínio fechado, chamado Parque dos Girassóis, localizado em Jaboticabal – SP. A produção de dois projetos advém do fato de um deles considerar que uma parte das residências, que se instalarão no condomínio, utilizaria sistema de aquecimento solar, enquanto no outro projeto não será considerada a utilização deste sistema em nenhuma das futuras residências. Após elaboração e finalização dos projetos será realizada uma análise de custo de implantação dos mesmos e serão verificadas as diferenças que os projetos apresentarão tanto em relação ao custo quanto em relação aos componentes e elementos de distribuição adotados no sistema de distribuição"
1,"Este trabalho descreve o projeto de um carregador de baterias tipo chumbo-ácido controlado por um microcontrolador, utilizando os princípios e técnicas da eletrônica de potência. O sistema será capaz de carregar um banco de baterias composto por até seis baterias dispostas em série, controlando o processo de carga para garantir a integridade do sistema e otimizar a vida útil das mesmas, utilizando métodos inteligentes para o processo de carga. O banco de baterias pertence a um projeto em andamento que trata do desenvolvimento de um veículo náutico autônomo. 



  
 
"
1,"Atualmente, o estudo da viabilidade da instalação de painéis fotovoltaicos é altamente importante devido à necessidade de utilizar novas fontes alternativas de energia, impulsionada pelo esgotamento das fontes em uso (água, petróleo, etc.), crescimento da população brasileira, aumento da demanda de energia e diversas questões ambientais. Desse modo, como o setor industrial é responsável pelo consumo de aproximadamente 42,4 % da energia elétrica há uma grande necessidade da expansão do parque gerador para atender a demanda por energia elétrica no país. É fato conhecido que o Brasil possui uma grande capacidade
de exploração de energia proveniente do Sol, o que em países desenvolvidos já é uma realidade quando se trata do aproveitamento desse recurso para geração de eletricidade. Assim, indústrias cobrem seus prédios e estacionamentos com painéis solares, e até mesmo setores públicos e residências aproveitam seus espaços para a geração de energia. Portanto, neste trabalho será mostrado como um consumidor industrial pode começar a explorar essa fonte de energia inesgotável, os problemas que serão enfrentados em relação aos custos, as suas vantagens e desvantagens, e se há ou não benefícios econômicos."
1,"O aterramento elétrico é um fator muito importante na proteção de sistemas elétricos de potência. Para o estudo de aterramentos é necessário entender o conceito de resistência de terra, a qual é deduzida da teoria do Eletromagnetismo, e é diferente da expressão para condutor metálico. Este trabalho aborda a instalação de um sistema de aterramento experimental com concreto e cavacos de madeira, em que será medida e comparada a resistência elétrica com um
aterramento comum de uma haste, e ambos no mesmo terreno. Sabe-se que o concreto retém água por um determinado tempo e que a madeira é higroscópica, o que justifica a mistura para a preparação do concreto especial. Foram obtidos bons resultados para a resistência do aterramento, o que mostra a priori uma redução de valores para as mesmas condições de terreno. "
1,"Este trabalho consiste no desenvolvimento de modelos de previsão aplicados na predição do  Spread  (Ágio) do preço de energia elétrica  praticado pelos agentes vendedores  no mercado de curto prazo. Foram avaliados os desempenhos  das técnicas de regressão linear (Modelo Autorregressivo  - AR e Modelo Autorregressivo Exógeno  - ARX) e dos modelos não lineares (Redes Neurais Artificiais  - RNA). Como variáveis de entrada dos modelos de previsão  foram utilizados históricos de variáveis influentes na operação energética brasileira: Geração  Termelétrica, Geração Hidrelétrica, Preço de Liquidação das Diferenças (PLD), Demanda Energética, Energia Natural Afluente (ENA), Energia Armazenada  e o histórico do próprio  Spread. Tais modelos de previsão podem ser utilizados como uma ferramenta de suporte no processo de planejamento de comercialização de energia elétrica. 

 
"
